Login Stamp No. 1!<br>You got 1 Cat Ticket!	Day 1
Login Stamp No. 2!<br>You got 1 Legendary Starshine!	Day 2
Login Stamp No. 3!<br>You got 1 Rare Ticket!	Day 3
Login Stamp No. 4!<br>You got 1 Speed Up!	Day 4
Login Stamp No. 5!<br>You got 1 Legendary Starshine!	Day 5
Login Stamp No. 6!<br>You got 1 Cat Ticket!	Day 6
Login Stamp No. 7!<br>You got 1 Rich Cat!	Day 7
Login Stamp No. 8!<br>You got 1 Legendary Starshine!	Day 8
Login Stamp No. 9!<br>You got 1 Rare Ticket!	Day 9
Login Stamp No. 10!<br>You got 1 Cat CPU!	Day 10
Login Stamp No. 11!<br>You got 1 Legendary Starshine!	Day 11
Login Stamp No. 12!<br>You got 1 Cat Ticket!	Day 12
Login Stamp No. 13!<br>You got 1 Rare Ticket!	Day 13
Login Stamp No. 14!<br>You got 1 Legendary Starshine!	Day 14
Login Stamp No. 15!<br>You got 1 Treasure Radar!	Day 15
Login Stamp No. 16!<br>You got 1 Cat Ticket!	Day 16
Login Stamp No. 17!<br>You got 1 Legendary Starshine!	Day 17
Login Stamp No. 18!<br>You got 1 Rare Ticket!	Day 18
Login Stamp No. 19!<br>You got 1 Sniper the Cat!	Day 19
Login Stamp No. 20!<br>You got 1 Legendary Starshine!	Day 20
Login Stamp No. 21!<br>You got 1 Cat Ticket!	Day 21
Login Stamp No. 22!<br>You got 1 Rare Ticket!	Day 22
Login Stamp No. 23!<br>You got 1 Legendary Starshine!	Day 23
Login Stamp No. 24!<br>You got 1 Cat Job!	Day 24
