Anmeldestempel 1!<br>Du erhältst 1 Legend. Glücksb.!	Tag 1	//ログイン1日目獲得文章
Anmeldestempel 2!<br>Du erhältst 1 Legend. Glücksb.!	Tag 2	//ログイン2日目獲得文章
Anmeldestempel 3!<br>Du erhältst 1 Legend. Glücksb.!	Tag 3	//ログイン3日目獲得文章
Anmeldestempel 4!<br>Du erhältst 1 Legend. Glücksb.!	Tag 4	//ログイン4日目獲得文章
Anmeldestempel 5!<br>Du erhältst 1 Führung!	Tag 5	//ログイン5日目獲得文章
Anmeldestempel 6!<br>Du erhältst 1 Legend. Glücksb.!	Tag 6	//ログイン6日目獲得文章
Anmeldestempel 7!<br>Du erhältst 1 Legend. Glücksb.!	Tag 7	//ログイン7日目獲得文章
Anmeldestempel 8!<br>Du erhältst 1 Legend. Glücksb.!	Tag 8	//ログイン8日目獲得文章
Anmeldestempel 9!<br>Du erhältst 1 Legend. Glücksb.!	Tag 9	//ログイン9日目獲得文章
Anmeldestempel 10!<br>Du erhältst 1 seltenes Ticket!	Tag 10	//ログイン10日目獲得文章
Anmeldestempel 11!<br>Du erhältst 1 Legend. Glücksb.!	Tag 11	//ログイン11日目獲得文章
Anmeldestempel 12!<br>Du erhältst 1 Legend. Glücksb.!	Tag 12	//ログイン12日目獲得文章
Anmeldestempel 13!<br>Du erhältst 1 Legend. Glücksb.!	Tag 13	//ログイン13日目獲得文章
Anmeldestempel 14!<br>Du erhältst 1 Legend. Glücksb.!	Tag 14	//ログイン14日目獲得文章
Anmeldestempel 15!<br>Du erhältst 1 Legend. Glücksb.!	Tag 15	//ログイン15日目獲得文章
