Anmeldestempel 1!<br>Du erhältst 1 Katzenticket!	Tag 1
Anmeldestempel Nr. 2!<br>Du erhältst 1 Legendenstrahlen!	Tag 2
Anmeldestempel 3!<br>Du erhältst 1 seltenes Ticket!	Tag 3
Anmeldestempel 4!<br>Du erhältst 1 Beschleuniger!	Tag 4
Anmeldestempel Nr. 5!<br>Du erhältst 1 Legendenstrahlen!	Tag 5
Anmeldestempel 6!<br>Du erhältst 1 Katzenticket!	Tag 6
Anmeldestempel 7!<br>Du erhältst 1 reiche Katze!	Tag 7
Anmeldestempel Nr. 8!<br>Du erhältst 1 Legendenstrahlen!	Tag 8
Anmeldestempel 9!<br>Du erhältst 1 seltenes Ticket!	Tag 9
Anmeldestempel 10!<br>Du erhältst 1 Katzencomputer!	Tag 10
Anmeldestempel Nr. 11!<br>Du erhältst 1 Legendenstrahlen!	Tag 11
Anmeldestempel 12!<br>Du erhältst 1 Katzenticket!	Tag 12
Anmeldestempel 13!<br>Du erhältst 1 seltenes Ticket!	Tag 13
Anmeldestempel Nr. 14!<br>Du erhältst 1 Legendenstrahlen!	Tag 14
Anmeldestempel 15!<br>Du erhältst 1 Schatzradar!	Tag 15
Anmeldestempel 16!<br>Du erhältst 1 Katzenticket!	Tag 16
Anmeldestempel Nr. 17!<br>Du erhältst 1 Legendenstrahlen!	Tag 17
Anmeldestempel 18!<br>Du erhältst 1 seltenes Ticket!	Tag 18
Anmeldestempel 19!<br>Du erhältst 1 Katzenschützen!	Tag 19
Anmeldestempel Nr. 20!<br>Du erhältst 1 Legendenstrahlen!	Tag 20
Anmeldestempel 21!<br>Du erhältst 1 Katzenticket!	Tag 21
Anmeldestempel 22!<br>Du erhältst 1 seltenes Ticket!	Tag 22
Anmeldestempel Nr. 23!<br>Du erhältst 1 Legendenstrahlen!	Tag 23
Anmeldestempel 24!<br>Du erhältst 1 Katzeneffizienz!	Tag 24
