Angriff + %@: %@	Schaden gg. %@ erhöht.
Verteidigung + %@: %@	Schaden durch %@ gesenkt.
"Stark"-Effekt + %@: %@	"Stark"-Effekt verbessert gg. %@
Heftiger Schaden +%@: %@	Schaden verbessert gg. %@
„Stark“-Effekt + %@: %@	Resistenz gegen %@-Angriffe verbessert.
Mini-Todes-Zufallsangriff %@	Katzen entfesseln bei Tod einen Mini-Zufallsangriff.<br>Nach je 2 Eins. verfügbar <br>(nicht stapelbar).
Wellenschaden-Resistenz %@	Verringert Schaden durch feindl. Wellenang.
Skonto %@	Erstattet einen Teil der Einsatzkosten einer gefallenen Katze.<br>Nach je 2 Eins. verfügbar.
Rückstoß-Resistenz %@	Verringert den Effekt feindl. Rückst.-Angr.
Legenden-Level stärken %@	Ges. & Angr. in Legenden-Leveln erhöht (nicht stapelbar).
Kolosstöter %@	Erhält Fähigkeit Kolosstöter.<br>Nach je 2 Eins. verfügbar (nicht stapelbar).
Katzenkanonenaufl. %@	Wird eine Katze mit Talenten besiegt,<br>lädt die Kanone auf. Nach je 2 Eins.<br>verfügbar (nicht stapelbar).
Gift-Resistenz %@	Verringert Schaden durch<br>feindliche Giftangriffe.
Angriff ausweichen (alle) %@	Erhält Fähigkeit Angriff ausweichen (alle)<br>Nach je 2 Eins. verfügbar (nicht stapelbar).
Lähmung-Resistenz %@	Verringert den Effekt feindl. Lähmen-Angr.
Fluch-Resistenz %@	Verringert den Effekt feindl. Fluch-Angr.
Unheimliche Legenden verstärken %@	Ges. & Angr. in Unheimlichen Legenden<br>erhöht (nicht stapelbar).
Konter: 1x Zufallsangriff %@	Kontere nach je 2 Einsätzen mit einem<br>Zufallsangriff, wenn du von einem gegnerischen Zufallsangriff getroffen<br>wirst (nicht stapelbar).
Berserker %@	Erhöht die Angriffskraft, nachdem eine<br>bestimmte Anzahl Feinde<br>besiegt wurde (nicht stapelbar).
Verkürzte Abklingzeit %@	Verkürzt alle 2 Einsätze<br>die Abklingzeit (nicht stapelbar).
Einfrieren-Resistenz %@	Verringert den Effekt feindl. Einfrieren-Angr.
Schwächen-Resistenz %@	Verringert den Schwächen-Effekt<br>feindlicher Angriffe.
Kosten – %@	Verringert die Kosten für den Einsatz von Einheiten.<br>Nach je 2 Eins. verfügbar (nicht stapelbar).
Zufalls-Resistenzen %@	Verringert den Schaden durch gegnerische Zufallsangriffe.
Erste Belohnung erhöht %@	Erhalte mehr Geld für den ersten besiegten Feind.<br>Nach je 2 Eins. verfügbar <br>(nicht stapelbar).
Explosion-Resistenzen %@	Verringert Schaden durch feindliche Explosionsangriffe.
