Sello de lealtad 1<br>¡Ganaste 1 tique gatuno!	Día 1
Sello de lealtad 2<br>¡Has ganado 1 brillo estelar!	Día 2
Sello de lealtad 3<br>¡Ganaste 1 tique raro!	Día 3
Sello de lealtad 4<br>¡Ganaste 1 acelerador!	Día 4
Sello de lealtad 5<br>¡Has ganado 1 brillo estelar!	Día 5
Sello de lealtad 6<br>¡Ganaste 1 tique gatuno!	Día 6
Sello de lealtad 7<br>¡Ganaste 1 gato ricachón!	Día 7
Sello de lealtad 8<br>¡Has ganado 1 brillo estelar!	Día 8
Sello de lealtad 9<br>¡Ganaste 1 tique raro!	Día 9
Sello de lealtad 10<br>¡Ganaste 1 gatomático!	Día 10
Sello de lealtad 11<br>¡Has ganado 1 brillo estelar!	Día 11
Sello de lealtad 12<br>¡Ganaste 1 tique gatuno!	Día 12
Sello de lealtad 13<br>¡Ganaste 1 tique raro!	Día 13
Sello de lealtad 14<br>¡Has ganado 1 brillo estelar!	Día 14
Sello de lealtad 15<br>¡Ganaste 1 radar de tesoros!	Día 15
Sello de lealtad 16<br>¡Ganaste 1 tique gatuno!	Día 16
Sello de lealtad 17<br>¡Has ganado 1 brillo estelar!	Día 17
Sello de lealtad 18<br>¡Ganaste 1 tique raro!	Día 18
Sello de lealtad 19<br>¡Ganaste 1 gatotirador!	Día 19
Sello de lealtad 20<br>¡Has ganado 1 brillo estelar!	Día 20
Sello de lealtad 21<br>¡Ganaste 1 tique gatuno!	Día 21
Sello de lealtad 22<br>¡Ganaste 1 tique raro!	Día 22
Sello de lealtad 23<br>¡Has ganado 1 brillo estelar!	Día 23
Sello de lealtad 24<br>¡Ganaste 1 sabelotodos!	Día 24
