Más ataque de unidad|
Más defensa de unidad|
Aceleración de unidad|
Mayor nivel de gatorreta|
Mayor nivel del gatopeón|
Más dinero inicial|
Más ataque de gatorreta|
Más recarga de gatorreta|
Gatopeón más eficiente|
Gatopeón a tope|
Más defensa de la base|
Más poder para investigar|
Recompensa mejorada|
Aluvión de premios de XP|
Más «Eficacia»|
Más «Superfuerza»|
Más «Resistencia»|
Más «Repulsión»|
Más «Ralentización»|
Más «Paralización»|
Más «Desgaste»|
Más «Arrebato»|
"Witch Killer" Effects Up|
"EVA Angel Killer" Effects Up|
Más prob. de daño crítico|
Efectos matakaijin|
Inmune a las oleadas|
Coste reducido|
Inmunidad a réplica|
