Aumento de ataque %@: %@	Aumento de daño infligido a %@.
Mejora de defensa %@: %@	Reducción de daño recibido de %@.
Mayor efecto «Eficacia» %@: %@	Mejorará la eficacia contra %@.
Mayor efecto «Superfuerza» %@: %@	Mejorará la fuerza contra %@.
Mayor efecto «Dureza» %@: %@	Mejorará la resistencia a ataques de %@.
Minirréplica mortal: %@	Los gatos provocan una mini-réplica al morir<br>cada 2 despliegues (no acumulable)
Resistencia a oleadas: %@	Reduce el daño de las oleadas enemigas.
Pasta turbo: %@	Carga un poco el cañón al ser<br>derrotado un gato.<br>Se activa cada 2 despliegues.
Resistencia a repulsión: %@	Reduce el efecto de las oleadas enemigas.
Impulso en historias de leyenda: %@	Impulso de Salud/poder ataq.<br>en las historias de leyenda (no acum.)
Matacolosos: %@	Obtiene la habilidad matacolosos<br>cada 2 despliegues (no acumulable)
Recarga de la gatorreta: %@	Carga un poco la gatorreta<br>al derrotar a un gato con talentos<br>cada 2 despliegues (no acumulable)
Resistencia a toxicidad: %@	Reduce el daño de ataques tóxicos enemigos.
Evasión (Todo): %@	Obtiene la habilidad de evasión (Todo)<br>cada 2 despliegues (no acumulable)
Resistencia a ralentización: %@	Reduce el efecto de ralentización<br>de ataques enemigos.
Resistencia a maldición: %@	Reduce el efecto de maldición<br>de ataques enemigos.
Impulso en Leyendas Inquietantes: %@	Mayor salud y poder de ataque<br>en Leyendas Inquietantes (no acumulable).
Contador de única réplica %@	Ataca con una réplica<br>tras un ataque enemigo con réplica<br>cada 2 despliegues (no acumulable)
Berserker %@	Aumenta el poder de ataque tras vencer<br>a un número de enemigos (no acumulable)
Reducción del tiempo de espera %@	Reduce el tiempo de espera<br>cada 2 despliegues (no acumulable)
Resistencia a paralización %@	Reduce el efecto de paralización<br>de ataques enemigos
Resistencia a desgaste %@	Reduce el efecto de desgaste<br>de los ataques enemigos.
Coste reducido: %@	Reduce el coste de despliegue por unidad<br>cada 2 despliegues (no acumulable)
Resistencia a réplicas: %@	Reduce el daño de las réplicas enemigas.
Primera recompensa disponible: %@	Gana más dinero por vencer al primer enemigo<br>cada 2 despliegues (no acumulable)
Resistencia a explosión: %@	Reduce el daño<br>de ataques explosivos enemigos.
