Tampon connexion nº1<br>Tu as reçu 1 ticket classique !	Jour 1
Tampon connexion n° 2 !<br>Tu as reçu 1 star légendaire !	Jour 2
Tampon connexion nº3<br>Tu as reçu 1 ticket rare  !	Jour 3
Tampon connexion nº4<br>Tu as reçu 1 accélération !	Jour 4
Tampon connexion n° 5 !<br>Tu as reçu 1 star légendaire !	Jour 5
Tampon connexion nº6<br>Tu as reçu 1 ticket classique !	Jour 6
Tampon connexion nº7<br>Tu as reçu 1 Chat fortuné  !	Jour 7
Tampon connexion n° 8 !<br>Tu as reçu 1 star légendaire !	Jour 8
Tampon connexion nº9<br>Tu as reçu 1 ticket rare  !	Jour 9
Tampon connexion nº10<br>Tu as reçu 1 Chat numérique  !	Jour 10
Tampon connexion n° 11 !<br>Tu as reçu 1 star légendaire !	Jour 11
Tampon connexion nº12<br>Tu as reçu 1 ticket classique !	Jour 12
Tampon connexion nº13<br>Tu as reçu 1 ticket rare  !	Jour 13
Tampon connexion n° 14 !<br>Tu as reçu 1 star légendaire !	Jour 14
Tampon connexion nº15<br>Tu as reçu 1 détecteur de trésor  !	Jour 15
Tampon connexion nº16<br>Tu as reçu 1 ticket classique !	Jour 16
Tampon connexion n° 17 !<br>Tu as reçu 1 star légendaire !	Jour 17
Tampon connexion nº18<br>Tu as reçu 1 ticket rare  !	Jour 18
Tampon connexion nº19<br>Tu as reçu 1 Chat tireur  !	Jour 19
Tampon connexion n° 20 !<br>Tu as reçu 1 star légendaire !	Jour 20
Tampon connexion nº21<br>Tu as reçu 1 ticket classique !	Jour 21
Tampon connexion nº22<br>Tu as reçu 1 ticket rare  !	Jour 22
Tampon connexion n° 23 !<br>Tu as reçu 1 star légendaire !	Jour 23
Tampon connexion nº24<br>Tu as reçu 1 Chats diplômés !	Jour 24
