Attaque aug. %@ : %@	Dégâts augmentés contre %@
Défense aug. %@ : %@	Dégâts réduits contre %@
Effet Assure ↑ %@ : %@	Effet Assure amélioré contre %@
Dégâts massifs ↑ %@: %@	Dégâts améliorés contre %@
Effet balèze ↑ %@ : %@	Résistance aux attaques %@ améliorée.
Mini-réplique ultime %@	Chat qui déchaîne une mini-réplique<br>offensive en cas de mort. S'active tous<br>les 2 déploiements (non cumulable).
Résist. dégâts de vagues %@	Réduit les dégâts des vagues offensives ennemies.
Remise en argent %@	Récupère une partie du coût de déploiement<br>d’un chat tombé au combat. S'active<br>tous les 2 déploiements.
Résist. Recul %@	Réduit l’effet de recul des attaques ennemies.
Améliorer histoires légendaires %@	Santé et puissance d’attaque améliorées dans les niveaux<br>histoires légendaires (ne se cumule pas)
Fléau des colosses %@	Gagne la capacité Fléau des colosses.<br>S'active tous les 2 déploiements (non cumulable).
Charge du Chanon %@	Charge un peu le Chanon quand un chat<br>avec talents est vaincu. S’active tous<br>les 2 déploiements (non cumulable).
Résist. toxique %@	Réduit les dégâts des attaques toxiques<br>ennemies.
Esquive (Tout) %@	Gagne la capacité Esquive (Tout). S'active<br>tous les 2 déploiements (non cumulable).
Résist. Ralentissement %@	Réduit l’effet de Ralentissement des attaques<br>ennemies.
Résist. Malédictions %@	Réduit l’effet de Malédiction des attaques<br>ennemies.
Améliore les Légendes mystérieuses %@	Santé et puissance d’attaque améliorées<br>dans les Légendes mystérieuses<br>(ne se cumule pas).
Compteur de réplique offensive unique : %@	Contre-attaque avec une réplique offensive<br>après avoir été touché par une réplique offensive<br>ennemie. S'active une fois tous les<br>2 déploiements (non cumulable)
Berserker : %@	Augmente la puissance d’attaque après avoir<br>vaincu un certain nombre d’ennemis<br>(non cumulable).
Rechargement raccourci : %@	Réduit le temps de récupération. S'active<br>tous les 2 déploiements (non cumulable)
Résist. Immobilisation : %@	Réduit l’effet d'Immobilisation des attaques<br>ennemies.
Résist. Affaiblissement : %@	Réduit l’effet d’Affaiblissement causé<br>par les attaques ennemies.
Coût réduit %@	Réduit le coût de déploiement des unités.<br>S'active tous les 2 déploiements (non cumulable).
Résist. répliques %@	Réduit les dégâts infligés<br>par les répliques offensives ennemies.
Première prime améliorée %@	Gagne plus d’Argent au premier ennemi vaincu.<br>S'active tous les 2 déploiements (non cumulable).
Résist. Explosion %@	Réduit les dégâts des Explosions ennemies.
