Timbro accesso 1<br>Hai ricevuto 1 Miaobiglietto!	Giorno 1
Timbro accesso n. 2!<br>Hai ricevuto 1 Stella leggendaria!	Giorno 2
Timbro accesso 3<br>Hai ricevuto 1 Biglietto raro!	Giorno 3
Timbro accesso 4<br>Hai ricevuto 1 accelerazione!	Giorno 4
Timbro accesso n. 5!<br>Hai ricevuto 1 Stella leggendaria!	Giorno 5
Timbro accesso 6<br>Hai ricevuto 1 Miaobiglietto!	Giorno 6
Timbro accesso 7<br>Hai ricevuto 1 Gatto riccone!	Giorno 7
Timbro accesso n. 8!<br>Hai ricevuto 1 Stella leggendaria!	Giorno 8
Timbro accesso 9<br>Hai ricevuto 1 Biglietto raro!	Giorno 9
Timbro accesso 10<br>Hai ricevuto 1 Gatto CPU!	Giorno 10
Timbro accesso n. 11!<br>Hai ricevuto 1 Stella leggendaria!	Giorno 11
Timbro accesso 12<br>Hai ricevuto 1 Miaobiglietto!	Giorno 12
Timbro accesso 13<br>Hai ricevuto 1 Biglietto raro!	Giorno 13
Timbro accesso n. 14!<br>Hai ricevuto 1 Stella leggendaria!	Giorno 14
Timbro accesso 15<br>Hai ricevuto 1 Radar tesori!	Giorno 15
Timbro accesso 16<br>Hai ricevuto 1 Miaobiglietto!	Giorno 16
Timbro accesso n. 17!<br>Hai ricevuto 1 Stella leggendaria!	Giorno 17
Timbro accesso 18<br>Hai ricevuto 1 Biglietto raro!	Giorno 18
Timbro accesso 19<br>Hai ricevuto 1 Gatto cecchino!	Giorno 19
Timbro accesso n. 20!<br>Hai ricevuto 1 Stella leggendaria!	Giorno 20
Timbro accesso 21<br>Hai ricevuto 1 Miaobiglietto!	Giorno 21
Timbro accesso 22<br>Hai ricevuto 1 Biglietto raro!	Giorno 22
Timbro accesso n. 23!<br>Hai ricevuto 1 Stella leggendaria!	Giorno 23
Timbro accesso 24<br>Hai ricevuto 1 Gatti secchioni!	Giorno 24
