Più attacco %@: %@	Danni a %@ aumentati.
Aumento difesa %@: %@	Danni da %@ diminuiti.
Effetto Efficace + %@: %@	Effetto Efficace migliorerà vs %@
Danni enormi + %@: %@	I danni miglioreranno vs %@
Effetto Forte + %@: %@	Resistenza agli attacchi di %@ migliorerà.
Mini valanga della morte %@	I Gatti scatenano una mini valanga quando<br>muoiono. Si attiva ogni<br>2 schieramenti (non cumulabile)
Resistente a danni da ondate %@	Riduce i danni dalle ondate nemiche.
Rimborso %@	Recupera parte del costo dello schieramento<br>di un Gatto caduto. Si attiva ogni<br>2 schieramenti.
Resistente a respinta %@	Riduce la respinta degli attacchi nemici.
Potenzia Saghe leggendarie %@	Più salute e potenza d'att. nelle<br>Saghe leggendarie (non cumulabile)
Ammazzagiganti %@	Ottiene l'abilità ammazzagiganti.<br>Si attiva ogni<br>2 schieramenti (non cumulabile)
Ricarica cannone felino %@	Ricarica di poco il cannone quando un Gatto<br>con talenti viene sconfitto. Si attiva ogni<br>2 schieramenti (non cumulabile)
Resistente a veleno %@	Riduce i danni dagli attacchi velenosi.
Schiva attacchi (tutti) %@	Ottiene l'abilità schiva attacchi (tutti).<br>Si attiva ogni 2 schieramenti<br>(non cumulabile)
Resistente a rallentamento %@	Riduce il rallentamento<br>degli attacchi nemici.
Resistente a maledizioni %@	Riduce le maledizioni degli attacchi nemici.
Potenzia leggende misteriose %@	Più salute e potenza d'attacco<br>in leggende misteriose (non cumulabile)
Contrattacco a valanga singolo %@	Risponde con valanga dopo essere stato<br>colpito da un attacco a valanga nemico.<br>Si attiva ogni 2 schieramenti (non cumulab.)
Berserker %@	Aumenta la potenza d'attacco dopo<br>aver sconfitto un<br>certo numero di nemici (non cumulabile)
Tempo di ricarica ridotto %@	Riduce il tempo di ricarica. Si attiva<br>ogni 2 schieramenti (non cumulabile)
Resistente a immobilità %@	Riduce gli attacchi di immobilità nemici.
Resistente a indebolimento %@	Riduce gli effetti dell'indebolimento<br>dovuti ad attacchi nemici.
Costo ridotto %@	Riduce il costo dello schieramento<br>delle unità. Si attiva<br>ogni 2 schieramenti (non cumulabile)
Resistente a valanghe %@	Riduce i danni dagli<br>attacchi a valanga nemici.
Bonus per la prima sconfitta %@	Guadagna più soldi per il primo nemico<br>sconfitto. Si attiva ogni<br>2 schieramenti (non cumulabile)
Resistente a esplosione %@	Riduce i danni delle esplosioni nemiche.
