แสตมป์ล็อกอิน 1!<br>คุณได้ รับตั๋วแมว 1!	วันที่ 1
แสตมป์ล็อกอิน 2!<br>คุณได้สตาร์ไชน์ตำนาน 1 หน่วย!	วันที่ 2
แสตมป์ล็อกอิน 3!<br>คุณได้ รับตั๋วแรร์ 1!	วันที่ 3
แสตมป์ล็อกอิน 4!<br>คุณได้ รับเร่งความเร็ว 1!	วันที่ 4
แสตมป์ล็อกอิน 5!<br>คุณได้สตาร์ไชน์ตำนาน 1 หน่วย!	วันที่ 5
แสตมป์ล็อกอิน 6!<br>คุณได้ รับตั๋วแมว 1!	วันที่ 6
แสตมป์ล็อกอิน 7!<br>คุณได้ แมวเศรษฐี 1!	วันที่ 7
แสตมป์ล็อกอิน 8!<br>คุณได้สตาร์ไชน์ตำนาน 1 หน่วย!	วันที่ 8
แสตมป์ล็อกอิน 9!<br>คุณได้ รับตั๋วแรร์ 1!	วันที่ 9
แสตมป์ล็อกอิน 10!<br>คุณได้ ซีพียูแมว 1!	วันที่ 10
แสตมป์ล็อกอิน 11!<br>คุณได้สตาร์ไชน์ตำนาน 1 หน่วย!	วันที่ 11
แสตมป์ล็อกอิน 12!<br>คุณได้ รับตั๋วแมว 1!	วันที่ 12
แสตมป์ล็อกอิน 13!<br>คุณได้ รับตั๋วแรร์ 1!	วันที่ 13
แสตมป์ล็อกอิน 14!<br>คุณได้สตาร์ไชน์ตำนาน 1 หน่วย!	วันที่ 14
แสตมป์ล็อกอิน 15!<br>คุณได้ เรดาร์สมบัติ 1!	วันที่ 15
แสตมป์ล็อกอิน 16!<br>คุณได้ รับตั๋วแมว 1!	วันที่ 16
แสตมป์ล็อกอิน 17!<br>คุณได้สตาร์ไชน์ตำนาน 1 หน่วย!	วันที่ 17
แสตมป์ล็อกอิน 18!<br>คุณได้ รับตั๋วแรร์ 1!	วันที่ 18
แสตมป์ล็อกอิน 19!<br>คุณได้ แมวซุ่มยิง 1!	วันที่ 19
แสตมป์ล็อกอิน 20!<br>คุณได้สตาร์ไชน์ตำนาน 1 หน่วย!	วันที่ 20
แสตมป์ล็อกอิน 21!<br>คุณได้ รับตั๋วแมว 1!	วันที่ 21
แสตมป์ล็อกอิน 22!<br>คุณได้ รับตั๋วแรร์ 1!	วันที่ 22
แสตมป์ล็อกอิน 23!<br>คุณได้สตาร์ไชน์ตำนาน 1 หน่วย!	วันที่ 23
แสตมป์ล็อกอิน 24!<br>คุณได้ งานแมว 1!	วันที่ 24
