โจมตีเพิ่มขึ้น %@: %@	ดาเมจต่อ %@ เพิ่มขึ้น
ป้องกันเพิ่มขึ้น %@: %@	ดาเมจจาก %@ ลดลง
เพิ่มเอฟเฟกต์แข็งแกร่ง %@: %@	เอฟเฟกต์แข็งแกร่งจะเพิ่มกับ %@
เพิ่มดาเมจมหาศาล %@: %@	ดาเมจจะเพิ่มกับ %@
เพิ่มเอฟเฟกต์อึด %@: %@	ความอึดต่อการโจมตี %@ จะดีขึ้น
คลื่นความตายจิ๋ว %@	แมวปล่อยโหมกระหน่ำจิ๋วเมื่อ<br>ตาย มีผลหลังใช้งาน<br>ทุก 2 ครั้ง (ไม่สะสม)
ทนต่อดาเมจคลื่น %@	ลดดาเมจจากการโจมตีคลื่นของศัตรู
รับเงินคืน %@	คืนค่าใช้แมวที่ตายบางส่วน<br>มีผลหลังใช้งาน<br>ทุก 2 ครั้ง
ทนต่อกระแทกกลับ %@	ลดเอฟเฟกต์จากการโจมตีกระแทกกลับของศัตรู
บูสต์ด่านเรื่องราวแห่งตำนาน %@	บูสต์พลังชีวิตและโจมตี<br>ในด่านเรื่องราวแห่งตำนาน (ไม่สะสม)
มือสังหารยักษ์ %@	ได้ความสามารถมือสังหารยักษ์<br> มีผลหลังใช้งาน<br>ทุก 2 ครั้ง (ไม่สะสม)
ชาร์จปืนใหญ่แมว %@	ชาร์จปืนใหญ่เล็กน้อยเมื่อแมว<br>ที่มีพรสวรรค์ตาย มีผลหลังใช้งาน<br>ทุก 2 ครั้ง (ไม่สะสม)
ทนต่อพิษ %@	ลดดาเมจจากการโจมตีด้วยพิษของศัตรู
หลบหลีกการโจมตี (ทั้งหมด) %@	รับความสามารถหลบหลีกการโจมตี<br>(ทั้งหมด) มีผลหลังใช้งาน<br>ทุก 2 ครั้ง (ไม่สะสม)
ทนต่อชะลอ %@	ลดเอฟเฟกต์ชะลอจากการโจมตีของศัตรู
ทนต่อคำสาป %@	ลดเอฟเฟกต์สาปจากการโจมตีของศัตรู
บูสต์ตำนานประหลาด %@	บูสต์พลังชีวิตและโจมตี<br>ในตำนานประหลาด (ไม่สะสม)
โต้โหมกระหน่ำเดี่ยว %@	โต้ด้วยโจมตีโหมกระหน่ำหลังถูกศัตรู<br>โจมตีโหมกระหน่ำ มีผลหลังใช้งาน<br>ทุก 2 ครั้ง (ไม่สะสม)
เบอร์เซอร์เกอร์ %@	พลังโจมตีเพิ่มขึ้นหลังปราบ<br>ศัตรูได้จำนวนหนึ่ง (ไม่ทับซ้อน)
คูลดาวน์สั้นลง %@	ลดเวลาคูลดาวน์<br>มีผลหลังใช้งาน<br>ทุก 2 ครั้ง (ไม่สะสม)
ทนต่อแช่แข็ง %@	ลดเอฟเฟกต์แช่แข็งจากการโจมตีของศัตรู
ทนต่อลดทอน %@	ลดเอฟเฟกต์ลดทอนจากการโจมตีของศัตรู
ราคาลดลง %@	ลดค่าใช้งานยูนิต<br>มีผลหลังใช้งาน<br>ทุก 2 ครั้ง (ไม่สะสม)
ทนต่อโจมตีโหมกระหน่ำ %@	ลดดาเมจจากการโจมตีโหมกระหน่ำของศัตรู
ภารกิจล่าหัวแรก %@	ได้เงินเพิ่มเมื่อศัตรูตัวแรกตาย<br>มีผลหลังใช้งาน<br>ทุก 2 ครั้ง (ไม่สะสม)
ทนต่อระเบิด %@	ลดดาเมจจากการโจมตีระเบิดของศัตรู
