stageID,星解放,裏星解放,星1倍率,星2倍率,星3倍率,星4倍率,ゲリラset,報酬リセットType,1度きり表示,表示順,インターバル,挑戦フラグ,マップ難易度,クリア後非表示,XP2倍広告,生産額倍率,統率力フラグ,ステージ全表示設定,マップ名
0,4,0,100,150,200,300,0,0,0,0,0,0,7,0,0,0,1,0,レジェンドステージ：伝説のはじまり
1,4,0,100,150,200,300,0,0,0,0,0,0,4,0,0,0,1,0,レジェンドステージ：情熱の国
2,4,0,100,150,200,300,0,0,0,0,0,0,12,0,0,0,1,0,レジェンドステージ：グルコサミン砂漠
3,4,0,100,150,200,300,0,0,0,0,0,0,8,0,0,0,1,0,レジェンドステージ：猫ども海を渡る
4,4,0,100,150,200,300,0,0,0,0,0,0,8,0,0,0,1,0,レジェンドステージ：見つめてキャッツアイ
5,4,0,100,150,200,300,0,0,0,0,0,0,24,0,0,0,1,0,レジェンドステージ：ウエスタン街道
6,4,0,100,150,200,300,0,0,0,0,0,0,16,0,0,0,1,0,レジェンドステージ：マグロ海域
7,4,0,100,150,200,300,0,0,0,0,0,0,16,0,0,0,1,0,レジェンドステージ：バンブー島
8,4,0,100,150,200,300,0,0,0,0,0,0,16,0,0,0,1,0,レジェンドステージ：ぷにぷに鍾乳洞
9,4,0,100,150,200,300,0,0,0,0,0,0,48,0,0,0,1,0,レジェンドステージ：ボルケーノ火山
10,4,0,100,150,200,300,0,0,0,0,0,0,32,0,0,0,1,0,レジェンドステージ：千里の道
11,4,0,100,150,200,300,0,0,0,0,0,0,32,0,0,0,1,0,レジェンドステージ：アオ・ザ・カナ
12,4,0,100,150,200,300,0,0,0,0,0,0,32,0,0,0,1,0,レジェンドステージ：軍艦島
13,4,0,100,150,200,300,0,0,0,0,0,0,32,0,0,0,1,0,レジェンドステージ：つめとぎの廊下
14,4,0,100,150,200,200,0,0,0,0,0,0,32,0,0,0,1,0,レジェンドステージ：パルテノン神殿
15,4,0,100,150,200,200,0,0,0,0,0,0,32,0,0,0,1,0,レジェンドステージ：ずんどこ海水浴場
16,4,0,100,150,200,200,0,0,0,0,0,0,32,0,0,0,1,0,レジェンドステージ：アルカトラズ島
17,4,0,100,150,170,150,0,0,0,0,0,0,96,0,0,0,1,0,レジェンドステージ：脱獄トンネル
18,4,0,100,150,170,140,0,0,0,0,0,0,64,0,0,0,1,0,レジェンドステージ：カポネの監獄
19,4,0,100,140,160,140,0,0,0,0,0,0,64,0,0,0,1,0,レジェンドステージ：シルクロード
20,4,0,100,130,150,130,0,0,0,0,0,0,128,0,0,0,1,0,レジェンドステージ：闇へと続く地下道
21,4,0,100,120,140,130,0,0,0,0,0,0,128,0,0,0,1,0,レジェンドステージ：魔王の豪邸
22,4,0,100,120,140,120,0,0,0,0,0,0,128,0,0,0,1,0,レジェンドステージ：終わりを告げる夜
23,4,0,100,120,140,120,0,0,0,0,0,0,128,0,0,0,1,0,レジェンドステージ：バトルロワイアル
24,4,0,100,120,140,110,0,0,0,0,0,0,128,0,0,0,1,0,レジェンドステージ：戦争のつめあと
25,4,0,100,120,140,110,0,0,0,0,0,0,128,0,0,0,1,0,レジェンドステージ：海を汚す悪しき者
26,4,0,100,120,140,100,0,0,0,0,0,0,128,0,0,0,1,0,レジェンドステージ：心と体、繋ぐもの
27,4,0,100,120,140,100,0,0,0,0,0,0,128,0,0,0,1,0,レジェンドステージ：脆弱性と弱酸性
28,4,0,100,120,140,100,0,0,0,0,0,0,128,0,0,0,1,0,レジェンドステージ：導かれしネコ達
29,4,0,100,120,140,100,0,0,0,0,0,0,128,0,0,0,1,0,レジェンドステージ：暗黒コスモポリス
30,4,0,100,120,140,100,0,0,0,0,0,0,256,0,0,0,1,0,レジェンドステージ：ガラ・パ・ゴス
31,4,0,100,120,140,100,0,0,0,0,0,0,256,0,0,0,1,0,レジェンドステージ：岩海苔半島
32,4,0,100,120,140,100,0,0,0,0,0,0,256,0,0,0,1,0,レジェンドステージ：恐ろし連邦
33,4,0,100,120,140,100,0,0,0,0,0,0,256,0,0,0,1,0,レジェンドステージ：亡者の住まう地
34,4,0,100,120,140,100,0,0,0,0,0,0,256,0,0,0,1,0,レジェンドステージ：絶島パンデミック
