빨간 적에 효과가 발동합니다|＠
떠있는 적에 효과가 발동합니다|＠
검은 적에 효과가 발동합니다|＠
메탈 적에 효과가 발동합니다|＠
천사에 효과가 발동합니다|＠
에이리언에 효과가 발동합니다|＠
좀비에 효과가 발동합니다|＠
고대종에 효과가 발동합니다|＠
악마에 효과가 발동합니다|＠
속성을 가지지 않은 적에 효과가 발동합니다|＠
＠
＠
＠
＠
＠
＠
【공격력 다운】|타겟이 되는 적 캐릭터의|공격력을 일정 시간 낮춥니다|＠
【공격력 업】|이 능력을 가진 캐릭터의 체력이|일정 수치 이하로 감소하면 공격력이 상승합니다|＠
【움직임을 멈춘다】|타겟이 되는 적 캐릭터의|움직임을 일정 시간 멈춥니다|＠
【움직임을 느리게 한다】|타겟이 되는 적 캐릭터의|이동 속도를 일정 시간 느리게 합니다|＠
【살아남는다】|캐릭터가 쓰러질 정도의 데미지를 받았을 때|일정 확률로 딱 한 번 버텨 냅니다|＠
【성 파괴가 특기】|적의 성 공격 시 입히는 데미지가|크게 상승합니다|＠
【크리티컬】|일정 확률로 평소보다 높은 데미지를 입힙니다|「메탈 적」에는 평소만큼의 데미지를 입힙니다|＠
【공격 타겟 한정】|타겟이 되는 적 캐릭터만|공격할 수 있습니다|＠
【엄청 강하다】|타겟이 되는 적 캐릭터에게|입히는 데미지가 오르고 받는 데미지는 줄어듭니다|＠
【맷집이 좋다】|타겟이 되는 적 캐릭터에게|받는 데미지가 크게 줄어듭니다|＠
【격파 시 머니 UP】|이 능력을 가진 캐릭터가 적 캐릭터를 쓰러뜨리면|보다 많은 머니를 얻습니다|＠
【초 데미지】|타겟이 되는 적 캐릭터에게|입히는 데미지가 크게 오릅니다|＠
【날려버린다】|일정 확률로 타겟이 되는 적 캐릭터를|멀리 날려버립니다|＠
【파동 공격】|공격 성공 시 범위 내에 있는 모든 적 캐릭터에게|추가 데미지를 입히는 파동을 냅니다|＠
【메탈】|어떠한 공격도 데미지를 최소한으로 막아 내지만|크리티컬에 약합니다|＠
【파동 데미지 무효】|적 캐릭터의 파동 공격 데미지를 받지 않습니다|＠
【범위 공격】|캐릭터의 공격 범위 내에 있는|모든 적 캐릭터에게 데미지를 입힙니다|＠
【원거리 공격】|원거리의 적 캐릭터를 공격할 수 있지만|근거리의 적 캐릭터는 공격할 수 없습니다|＠
【공격력 다운 무효】|적 캐릭터로부터|「공격력 다운」 효과를 받지 않습니다|＠
【움직임을 멈춘다 무효】|적 캐릭터로부터|「움직임을 멈춘다」 효과를 받지 않습니다|＠
【움직임을 느리게 한다 무효】|적 캐릭터로부터|「움직임을 느리게 한다」 효과를 받지 않습니다|＠
【날려버린다 무효】|적 캐릭터로부터|「날려버린다」 효과를 받지 않습니다|＠
【개체 공격】|캐릭터의 공격 범위 내에 있는|하나의 적 캐릭터에게 데미지를 입힙니다|＠
【마녀 킬러】|마도카☆마기카에 등장하는 마녀에게|입히는 데미지가 오르고 받는 데미지는 줄어듭니다|＠
【좀비 킬러】|이 능력을 가진 캐릭터가 좀비 속성의 적 캐릭터를|쓰러뜨리면 좀비의 부활을 막습니다|＠
【파동 스토퍼】|이 능력을 가진 캐릭터보다 뒤쪽으로 파동이|가지 않도록 파동을 없애고 데미지를 무효화합니다|＠
【베리어 브레이커】|베리어를 가진 적 캐릭터를 공격하면 일정 확률로|베리어를 파괴하고 파괴 시의 공격으로 데미지를 입힙니다|＠
【워프 무효】|적 캐릭터로부터|「워프」 효과를 받지 않습니다|＠
【전방위 공격】|캐릭터의 앞쪽부터 뒤쪽까지|넓은 범위의 적 캐릭터들을 공격합니다|＠
【사도 킬러】|에반게리온 콜라보에 등장하는 사도에게|입히는 데미지가 오르고 받는 데미지는 줄어듭니다|＠
【고대의 저주 무효】|일시적으로 아군의 「효과」를 무효화시키는|「고대의 저주」 효과를 받지 않습니다|＠
【워프】|적 캐릭터를 워프시킵니다|＠
【공격력 다운 내성】|적 캐릭터에게 받은|「공격력 다운」 효과를 경감시킵니다|＠
【움직임을 멈춘다 내성】|적 캐릭터에게 받은|「움직임을 멈춘다」 효과를 경감시킵니다|＠
【움직임을 느리게 한다 내성】|적 캐릭터에게 받은|「움직임을 느리게 한다」 효과를 경감시킵니다|＠
【날려버린다 내성】|적 캐릭터에게 받은|「날려버린다」 효과를 경감시킵니다|＠
【파동 데미지 내성】|적 캐릭터에게 받은 파동 공격 데미지를 경감시킵니다|＠
【워프 내성】|적 캐릭터에게 받은|「워프」 효과를 경감시킵니다|＠
【생산 코스트 다운】|생산 코스트가 감소합니다|＠
【생산 스피드 업】|생산 스피드가 상승합니다|＠
【이동 속도 업】|이동 속도가 상승합니다|＠
【넉백 횟수 증가】|넉백 횟수가 증가합니다|＠
【고대의 저주 내성】|일시적으로 아군의 「효과」를 무효화시키는|「고대의 저주」 효과를 경감시킵니다|＠
【기본 공격력 업】|기본 공격력이 상승합니다|＠
【기본 체력 업】|기본 체력이 상승합니다|＠
【극 데미지】|타겟이 되는 적 캐릭터에게|입히는 데미지가 매우 크게 오릅니다|＠
【초 맷집이 좋다】|타겟이 되는 적 캐릭터에게|받는 데미지가 매우 크게 줄어듭니다|＠
【속성 빨간 적】|타겟 대상에 「속성 빨간 적」을 추가|＠
【속성 떠있는 적】|타겟 대상에 「속성 떠있는 적」을 추가|＠
【속성 검은 적】|타겟 대상에 「속성 검은 적」을 추가|＠
【속성 메탈】|타겟 대상에 「속성 메탈」을 추가|＠
【속성 천사】|타겟 대상에 「속성 천사」를 추가|＠
【속성 에이리언】|타겟 대상에 「속성 에이리언」을 추가|＠
【속성 좀비】|타겟 대상에 「속성 좀비」를 추가|＠
【속성 고대종】|타겟 대상에 「속성 고대종」을 추가|＠
【속성을 가지지 않은 적】|타겟 대상에 「속성을 가지지 않은 적」을 추가|＠
【혼신의 일격】|일정 확률로 평소보다 높은 데미지를 입힙니다|＠
【공격 무효】|타겟이 되는 적 캐릭터에게|데미지를 일정 시간 받지 않습니다|＠
【열파 공격】|공격 성공 시 랜덤한 장소에|추가 데미지를 입히는 열파를 냅니다|＠
【독 공격 데미지 무효】|적 캐릭터의 독 공격 데미지를 받지 않습니다|＠
【저주】|타겟이 되는 적 캐릭터의 「효과」를|일정 시간 무효화시킵니다|＠
【열파 데미지 무효】|적 캐릭터의 열파 공격 데미지를 받지 않습니다|＠
【소파동】|공격 성공 시 범위 내에 있는 모든 적 캐릭터에게|추가 데미지를 입히는 작은 파동을 냅니다|＠
【독 공격 데미지 내성】|적 캐릭터에게 받은|「독 공격」 효과를 경감시킵니다|＠
【열파 데미지 내성】|적 캐릭터에게 받은 열파 공격 데미지를 경감시킵니다|＠
【쉴드 브레이커】|악마 쉴드를 가진 적 캐릭터를 공격하면 일정 확률로|악마 쉴드를 파괴하고 파괴 시의 공격으로 데미지를 입힙니다|＠
【속성 악마】|타겟 대상에 「속성 악마」를 추가|＠
【초생명체 특효】|초생명체에 입히는 데미지가 오르고|받는 데미지가 줄어듭니다|＠
【영혼 공격】|가사 상태인 좀비 속성의 적 캐릭터를 공격할 수 있습니다||＠
【초수 특효】|초수에 입히는 데미지가 크게 오르고|받는 데미지가 줄어들며 가끔 공격을 회피합니다|＠
【공격 간격 단축】|공격 간격이 짧아집니다|＠
【소열파】|공격 성공 시 랜덤한 장소에|추가 데미지를 입히는 작은 열파를 냅니다|＠
【열파 카운터】|적 캐릭터의 열파 공격으로 데미지를 받으면|적 캐릭터에게 열파 공격을 되돌려줍니다|＠
【소환】|출격 중에 아이콘을 탭하면 적 캐릭터를 공격하는 정령을 소환합니다|대신 스테이지에 같은 캐릭터는 단 한 개만 출격할 수 있습니다|＠
【초현자 특효】|초현자에 입히는 데미지가 조금 오르고|받는 데미지가 줄며 방해 효과를 경감시킵니다|게다가 초현자가 가진 방해 내성을 무효화합니다|＠
【메탈 킬러】|메탈 적에게 공격 성공 시|적 캐릭터의 현재 체력에 비례한 데미지를 입힙니다|＠
＠
＠
＠
＠
＠
【폭파 공격】|공격 성공 시 좌우로 퍼지면서|추가 데미지를 입히는 폭파를 일으킵니다|＠
【폭파 데미지 무효】|적 캐릭터의 폭파 공격 데미지를 받지 않습니다|＠
＠
